127.0.0.1 - - [14/Aug/2024:08:43:53 +0900] "GET / HTTP/1.1" 404 746
0:0:0:0:0:0:0:1 - - [14/Aug/2024:08:43:54 +0900] "GET /BBSStruts/ HTTP/1.1" 200 151
0:0:0:0:0:0:0:1 - - [14/Aug/2024:08:43:54 +0900] "GET /BBSStruts/main.jsp HTTP/1.1" 200 7033
0:0:0:0:0:0:0:1 - - [14/Aug/2024:08:43:54 +0900] "GET /BBSStruts/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Aug/2024:08:43:54 +0900] "GET /BBSStruts/css/custom-font.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Aug/2024:08:43:54 +0900] "GET /BBSStruts/images/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Aug/2024:08:43:54 +0900] "GET /BBSStruts/images/2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Aug/2024:08:43:54 +0900] "GET /BBSStruts/images/3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Aug/2024:08:43:54 +0900] "GET /favicon.ico HTTP/1.1" 404 757
0:0:0:0:0:0:0:1 - - [14/Aug/2024:08:45:37 +0900] "GET /BBSStruts/main.jsp HTTP/1.1" 200 7101
0:0:0:0:0:0:0:1 - - [14/Aug/2024:08:45:46 +0900] "GET /BBSStruts/main.jsp HTTP/1.1" 200 7091
0:0:0:0:0:0:0:1 - - [14/Aug/2024:08:45:47 +0900] "GET /BBSStruts/main.jsp HTTP/1.1" 200 7091
0:0:0:0:0:0:0:1 - - [14/Aug/2024:08:45:47 +0900] "GET /BBSStruts/main.jsp HTTP/1.1" 200 7091
0:0:0:0:0:0:0:1 - - [14/Aug/2024:08:45:47 +0900] "GET /BBSStruts/main.jsp HTTP/1.1" 200 7091
0:0:0:0:0:0:0:1 - - [14/Aug/2024:08:45:47 +0900] "GET /BBSStruts/main.jsp HTTP/1.1" 200 7091
0:0:0:0:0:0:0:1 - - [14/Aug/2024:08:45:48 +0900] "GET /BBSStruts/main.jsp HTTP/1.1" 200 7091
0:0:0:0:0:0:0:1 - - [14/Aug/2024:08:45:48 +0900] "GET /BBSStruts/main.jsp HTTP/1.1" 200 7091
0:0:0:0:0:0:0:1 - - [14/Aug/2024:08:45:48 +0900] "GET /BBSStruts/main.jsp HTTP/1.1" 200 7091
0:0:0:0:0:0:0:1 - - [14/Aug/2024:08:45:55 +0900] "GET /BBSStruts/main.jsp HTTP/1.1" 200 7091
0:0:0:0:0:0:0:1 - - [14/Aug/2024:08:45:55 +0900] "GET /BBSStruts/main.jsp HTTP/1.1" 200 7091
