127.0.0.1 - - [19/Aug/2024:08:59:48 +0900] "GET / HTTP/1.1" 404 746
0:0:0:0:0:0:0:1 - - [19/Aug/2024:08:59:49 +0900] "GET /BBSStruts/ HTTP/1.1" 200 151
0:0:0:0:0:0:0:1 - - [19/Aug/2024:08:59:49 +0900] "GET /BBSStruts/main.jsp HTTP/1.1" 200 5594
0:0:0:0:0:0:0:1 - - [19/Aug/2024:08:59:49 +0900] "GET /BBSStruts/css/custom-font.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2024:08:59:49 +0900] "GET /BBSStruts/images/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2024:08:59:49 +0900] "GET /favicon.ico HTTP/1.1" 404 757
0:0:0:0:0:0:0:1 - - [19/Aug/2024:08:59:53 +0900] "GET /BBSStruts/BBS.do HTTP/1.1" 200 11294
0:0:0:0:0:0:0:1 - - [19/Aug/2024:08:59:55 +0900] "POST /BBSStruts/view.do?bbsID=66 HTTP/1.1" 200 6614
0:0:0:0:0:0:0:1 - - [19/Aug/2024:08:59:55 +0900] "GET /css/custom-font.css HTTP/1.1" 404 765
0:0:0:0:0:0:0:1 - - [19/Aug/2024:08:59:57 +0900] "GET /BBSStruts/update.do?bbsID=66 HTTP/1.1" 200 6436
0:0:0:0:0:0:0:1 - - [19/Aug/2024:09:06:59 +0900] "GET /BBSStruts/delete.do?bbsID=66 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Aug/2024:09:06:59 +0900] "GET /BBSStruts/BBS.do?method=BBS HTTP/1.1" 200 11296
0:0:0:0:0:0:0:1 - - [19/Aug/2024:09:07:00 +0900] "POST /BBSStruts/view.do?bbsID=65 HTTP/1.1" 200 6628
0:0:0:0:0:0:0:1 - - [19/Aug/2024:09:07:00 +0900] "GET /css/custom-font.css HTTP/1.1" 404 765
0:0:0:0:0:0:0:1 - - [19/Aug/2024:09:07:02 +0900] "GET /BBSStruts/update.do?bbsID=65 HTTP/1.1" 200 6448
0:0:0:0:0:0:0:1 - - [19/Aug/2024:09:09:25 +0900] "GET /BBSStruts/update.do?bbsID=65 HTTP/1.1" 200 6448
0:0:0:0:0:0:0:1 - - [19/Aug/2024:09:09:25 +0900] "GET /BBSStruts/update.do?bbsID=65 HTTP/1.1" 200 6448
0:0:0:0:0:0:0:1 - - [19/Aug/2024:09:09:25 +0900] "GET /BBSStruts/update.do?bbsID=65 HTTP/1.1" 200 6448
0:0:0:0:0:0:0:1 - - [19/Aug/2024:09:11:09 +0900] "GET /BBSStruts/update.do?bbsID=65 HTTP/1.1" 200 7025
0:0:0:0:0:0:0:1 - - [19/Aug/2024:09:11:09 +0900] "GET /BBSStruts/update.do?bbsID=65 HTTP/1.1" 200 7025
0:0:0:0:0:0:0:1 - - [19/Aug/2024:09:11:09 +0900] "GET /css/custom-font.css HTTP/1.1" 404 765
0:0:0:0:0:0:0:1 - - [19/Aug/2024:09:11:09 +0900] "GET /BBSStruts/update.do?bbsID=65 HTTP/1.1" 200 7025
0:0:0:0:0:0:0:1 - - [19/Aug/2024:09:11:09 +0900] "GET /css/custom-font.css HTTP/1.1" 404 765
0:0:0:0:0:0:0:1 - - [19/Aug/2024:09:11:09 +0900] "GET /BBSStruts/update.do?bbsID=65 HTTP/1.1" 200 7025
0:0:0:0:0:0:0:1 - - [19/Aug/2024:09:11:09 +0900] "GET /css/custom-font.css HTTP/1.1" 404 765
0:0:0:0:0:0:0:1 - - [19/Aug/2024:09:11:10 +0900] "GET /BBSStruts/update.do?bbsID=65 HTTP/1.1" 200 7025
0:0:0:0:0:0:0:1 - - [19/Aug/2024:09:11:10 +0900] "GET /css/custom-font.css HTTP/1.1" 404 765
0:0:0:0:0:0:0:1 - - [19/Aug/2024:09:11:10 +0900] "GET /BBSStruts/update.do?bbsID=65 HTTP/1.1" 200 7025
0:0:0:0:0:0:0:1 - - [19/Aug/2024:09:11:10 +0900] "GET /css/custom-font.css HTTP/1.1" 404 765
0:0:0:0:0:0:0:1 - - [19/Aug/2024:09:11:10 +0900] "GET /BBSStruts/update.do?bbsID=65 HTTP/1.1" 200 7025
0:0:0:0:0:0:0:1 - - [19/Aug/2024:09:11:10 +0900] "GET /css/custom-font.css HTTP/1.1" 404 765
0:0:0:0:0:0:0:1 - - [19/Aug/2024:09:11:10 +0900] "GET /BBSStruts/update.do?bbsID=65 HTTP/1.1" 200 7025
0:0:0:0:0:0:0:1 - - [19/Aug/2024:09:11:10 +0900] "GET /css/custom-font.css HTTP/1.1" 404 765
0:0:0:0:0:0:0:1 - - [19/Aug/2024:09:11:11 +0900] "GET /BBSStruts/update.do?bbsID=65 HTTP/1.1" 200 7025
0:0:0:0:0:0:0:1 - - [19/Aug/2024:09:11:11 +0900] "GET /css/custom-font.css HTTP/1.1" 404 765
0:0:0:0:0:0:0:1 - - [19/Aug/2024:09:11:11 +0900] "GET /BBSStruts/update.do?bbsID=65 HTTP/1.1" 200 7025
0:0:0:0:0:0:0:1 - - [19/Aug/2024:09:11:11 +0900] "GET /css/custom-font.css HTTP/1.1" 404 765
0:0:0:0:0:0:0:1 - - [19/Aug/2024:09:11:11 +0900] "GET /BBSStruts/update.do?bbsID=65 HTTP/1.1" 200 7025
0:0:0:0:0:0:0:1 - - [19/Aug/2024:09:11:11 +0900] "GET /css/custom-font.css HTTP/1.1" 404 765
0:0:0:0:0:0:0:1 - - [19/Aug/2024:09:11:11 +0900] "GET /BBSStruts/update.do?bbsID=65 HTTP/1.1" 200 7025
0:0:0:0:0:0:0:1 - - [19/Aug/2024:09:11:11 +0900] "GET /css/custom-font.css HTTP/1.1" 404 765
0:0:0:0:0:0:0:1 - - [19/Aug/2024:09:11:12 +0900] "GET /BBSStruts/update.do?bbsID=65 HTTP/1.1" 200 7025
0:0:0:0:0:0:0:1 - - [19/Aug/2024:09:11:12 +0900] "GET /css/custom-font.css HTTP/1.1" 404 765
0:0:0:0:0:0:0:1 - - [19/Aug/2024:09:11:12 +0900] "GET /BBSStruts/update.do?bbsID=65 HTTP/1.1" 200 7025
0:0:0:0:0:0:0:1 - - [19/Aug/2024:09:11:12 +0900] "GET /css/custom-font.css HTTP/1.1" 404 765
0:0:0:0:0:0:0:1 - - [19/Aug/2024:09:11:12 +0900] "GET /BBSStruts/update.do?bbsID=65 HTTP/1.1" 200 7025
0:0:0:0:0:0:0:1 - - [19/Aug/2024:09:11:12 +0900] "GET /css/custom-font.css HTTP/1.1" 404 765
